Year,CountyName,Beef Cattle,Hogs,Milk Cattle,Other Cattle,CAP,CGH,CGY,SH,SAP,SY,State,CN_lb/ac,CN,MN,GN,FN,NS
1997,Buena Vista,4472.0,296162.0,321.0,0.0,166100.0,162500.0,146.4,154700.0,155900.0,48.4,IA,65.83368741249552,73.8,24.5,157.1,79.0,20.2
1998,Buena Vista,4438.5,287105.128,257.5,2743.5600000000086,168300.0,166000.0,154.6,150100.0,150600.0,48.8,IA,65.87783941930654,73.8,24.7,159.9,78.1,16.7
1999,Buena Vista,4438.5,284370.192,257.5,6864.639999999999,160000.0,157500.0,165.1,156800.0,157000.0,46.0,IA,63.56629286007006,71.3,25.8,160.1,74.4,11.4
2000,Buena Vista,4438.5,287957.19200000004,257.5,10593.073333333337,164000.0,160400.0,135.7,152700.0,153000.0,38.4,IA,68.2662231484238,76.5,27.1,132.1,52.7,24.2
2001,Buena Vista,4438.5,297866.128,257.5,13928.860000000002,159000.0,155800.0,144.4,157200.0,158000.0,46.5,IA,58.25177866098832,65.3,28.8,153.8,76.2,16.5
2002,Buena Vista,4405.0,314097.0,194.0,16872.0,160000.0,157000.0,159.2,148100.0,149000.0,51.5,IA,59.26746670080691,66.4,31.6,168.3,86.8,16.5
2003,Buena Vista,4438.5,336649.8080000001,257.5,19422.493333333332,163000.0,160000.0,160.0,151400.0,153000.0,31.7,IA,67.19553037565582,75.3,33.4,127.2,35.3,16.8
2004,Buena Vista,4438.5,365524.552,257.5,21580.339999999997,169000.0,166000.0,192.5,143300.0,144000.0,49.4,IA,66.7554759979248,74.8,36.5,175.0,77.6,13.9
2005,Buena Vista,4438.5,398930.856,257.5,23345.54,174000.0,171000.0,185.3,141900.0,142500.0,51.7,IA,74.38216551955865,83.4,39.2,175.9,81.5,28.2
2006,Buena Vista,4438.5,426126.4640000001,257.5,24718.093333333334,171000.0,168500.0,143.3,142500.0,143000.0,47.8,IA,69.27383413120192,77.7,42.0,151.8,72.8,40.7
2007,Buena Vista,4438.5,445321.0,257.5,25698.0,186000.0,183500.0,163.0,127800.0,128000.0,52.6,IA,90.94283984631909,101.9,43.8,164.1,75.8,57.4
2008,Buena Vista,4438.5,456514.4640000001,257.5,26285.260000000002,169000.0,165000.0,179.0,142600.0,143000.0,50.5,IA,82.96765512349654,93.0,45.1,171.9,80.0,46.2
2009,Buena Vista,4438.5,459706.856,257.5,26479.87333333333,173000.0,171500.0,190.7,139600.0,140000.0,53.5,IA,80.59152712140765,90.3,45.2,181.2,85.3,39.6
2010,Buena Vista,4438.5,455569.9520000001,257.5,26311.446666666667,165000.0,163500.0,178.3,145000.0,145500.0,50.4,IA,68.03440148489815,76.3,45.2,171.9,81.5,31.1
2011,Buena Vista,4438.5,448134.40800000005,257.5,25957.62,174000.0,171900.0,180.2,134000.0,135000.0,49.3,IA,84.68658656611734,94.9,44.8,168.0,73.4,45.1
2012,Buena Vista,4438.5,438072.0,257.5,25448.0,176000.0,172500.0,148.2,132600.0,133000.0,42.8,IA,86.75392049672652,97.3,43.8,142.1,57.2,56.2
2013,Buena Vista,4438.5,425382.728,257.5,24782.58666666667,177000.0,172200.0,160.5,131500.0,132000.0,44.9,IA,75.47272386356276,84.6,42.6,151.1,61.6,37.7
2014,Buena Vista,4438.5,410066.59200000006,257.5,23961.380000000005,172500.0,170300.0,172.1,137800.0,139000.0,49.1,IA,69.09695960064323,77.5,40.9,165.0,74.5,27.9
2015,Buena Vista,4438.5,392123.59199999995,257.5,22984.379999999997,166000.0,159800.0,202.7,146400.0,147000.0,59.6,IA,65.02255774517448,72.9,39.0,201.0,105.1,16.0
