CountyName,BeefCows,Hogs,MilkCows,OtherCattle,CornAcresPlanted,CornGrainAcresHarvested,CornGrainYield_bupacre,CornSilageAcresHarvested,CornSilageYield_tonspacre,SoybeansAcresHarvested,SoybeansAcresPlanted,SoybeansYield_bupacre,Year,CommercialN_kg_ha,ManureN_kg_ha,GrainN_kg_ha,GrainN_neg_kg_ha,FixatedN_kg_ha,NitrogenSurplus_kg_ha
Monroe,0,11760,0,16349,32300,31200,175.7,750,16,33200,33600,48.9,1/1/2014,93.62,26.04,171.55,-171.55,84.58,32.7
Monroe,0,17641,0,16566,,,,,,,,,1/1/2015,33.82,0,0,0,0,33.8
Monroe,0,23521,0,16782,30000,28100,180,1760,21.5,33100,33200,57.3,1/1/2016,34.82,32.29,194.6,-194.6,111,-16.5
Monroe,0,29401,0,16998,30700,28400,169.9,2080,16,28900,29100,51,1/1/2017,35.09,36.83,173.08,-173.08,86.25,-14.9
Monroe,0,35281,0,17214,28000,26000,167,1760,18.5,30500,30900,50.4,1/1/2018,33.45,40.15,174.02,-174.02,91.28,-9.1
Monroe,0,41161,0,17430,26400,25400,162.3,,,25900,26200,56.1,1/1/2019,33.63,48.04,181.42,-181.42,102.02,2.3
Keokuk,11894,237269,323,15789,118000,116400,193.2,,,101500,103000,52.6,1/1/2014,51.2,39.94,181.9,-181.9,86.64,-4.1
Keokuk,12322,235397,242,16024,119000,116100,181,,,103300,104000,53.4,1/1/2015,53.09,39.67,179.16,-179.16,88.71,2.3
Keokuk,12751,233526,162,16258,119000,116800,208.6,,,99100,99500,57.1,1/1/2016,56.44,40.57,196.39,-196.39,95.73,-3.6
Keokuk,13179,231654,82,16493,117500,114700,176.4,,,101600,102500,51.6,1/1/2017,57.42,40.37,173.6,-173.6,84.09,8.3
Keokuk,13607,229782,2,16728,119000,117100,203.7,,,102700,104500,57.7,1/1/2018,51.95,39.82,196.42,-196.42,99.81,-4.8
Keokuk,14036,227911,-78,16962,123500,119800,175.5,,,95900,97000,55.8,1/1/2019,52.54,40.44,178.97,-178.97,89.39,3.4
Cherokee,7516,273124,223,46346,153500,150600,183.6,,,132600,135000,55.8,1/1/2014,68.28,40.77,184.77,-184.77,95.08,19.4
Cherokee,5011,268427,149,47895,150500,147000,209.6,,,134700,135500,62.7,1/1/2015,67.81,39.97,210.05,-210.05,113.94,11.7
Cherokee,2505,263731,74,49445,152000,149400,219.7,,,130500,131000,69.6,1/1/2016,72.23,39.22,226.52,-226.52,128.59,13.5
Cherokee,0,259035,0,50995,146500,139100,203.7,,,134700,135500,62.4,1/1/2017,73.51,38.18,208.78,-208.78,114.78,17.7
Cherokee,-2505,254339,-74,52545,148000,142800,213.3,,,132900,134500,64.3,1/1/2018,66.23,36.94,215.24,-215.24,118.62,6.6
Cherokee,-5011,249643,-149,54095,153000,150400,208.9,,,128100,129000,58.8,1/1/2019,67.01,35.83,199.96,-199.96,100.37,3.2
Shelby,0,110651,0,25970,182000,179300,185.2,,,136900,137500,55.3,1/1/2014,82.03,15.54,180.83,-180.83,86.28,3
Shelby,0,113664,0,25517,175000,164000,195.3,,,143400,144000,57.2,1/1/2015,79.5,15.67,192.02,-192.02,95.14,-1.7
Shelby,0,116677,0,25064,180000,176800,215.3,,,133000,133500,60.5,1/1/2016,84.86,16.06,202.8,-202.8,97.35,-4.5
Shelby,0,119690,0,24611,172000,170200,207.1,,,142700,143500,58.2,1/1/2017,86.44,16.06,197.68,-197.68,98.32,3.1
Shelby,0,122703,0,24158,172500,168100,189.1,,,135900,137000,57.8,1/1/2018,77.74,16.48,188.66,-188.66,94.73,0.3
Shelby,0,125716,0,23705,174000,171800,217.3,,,134100,135000,58.7,1/1/2019,78.67,16.62,201.15,-201.15,95.62,-10.2
Appanoose,13631,311,245,11572,34100,32600,170.9,,,45200,45400,46.7,1/1/2014,112.4,36.59,169.82,-169.82,87.94,67.1
Appanoose,14270,467,219,12282,35000,33400,154.3,1210,14,35100,35400,48.2,1/1/2015,33.82,43.42,162.03,-162.03,81.51,-3.3
Appanoose,14908,622,194,12993,31100,30600,186.3,,,45400,45600,55.9,1/1/2016,34.93,41.78,199.28,-199.28,121.12,-1.4
Appanoose,15546,778,169,13704,29800,28000,170,840,16,46000,46200,50.7,1/1/2017,35.23,44.1,183.29,-183.29,106.76,2.8
Appanoose,16184,934,144,14415,,,,,,,,,1/1/2018,33.35,0,0,0,0,33.4
Appanoose,16822,1089,119,15126,30300,29300,166.8,,,,,,1/1/2019,33.55,0,0,0,0,33.5
Wayne,14246,18917,198,17617,57600,55600,171.9,,,76400,76800,45.8,1/1/2014,138.39,29.5,167.72,-167.72,85.21,85.4
Wayne,14356,23470,222,17018,65000,62500,158,,,52300,53100,45,1/1/2015,52.14,34.23,151.95,-151.95,65.1,-0.5
Wayne,14466,28024,245,16418,61000,57900,174.5,,,72800,73000,54.2,1/1/2016,54.3,30.75,187.19,-187.19,105.98,3.8
Wayne,14576,32577,269,15819,,,,,,,,,1/1/2017,54.93,0,0,0,0,54.9
Wayne,14686,37130,293,15220,53500,52500,171.6,,,71600,72300,49,1/1/2018,51.41,33.99,175.45,-175.45,95.65,5.6
Wayne,14796,41684,316,14620,57300,56300,151.5,810,17,57800,58900,52.5,1/1/2019,51.78,37.47,169.83,-169.83,93.95,13.4
Mills,1915,287,2,2381,98500,97000,184.9,,,94200,95200,54.5,1/1/2014,56.87,2.45,185.05,-185.05,96.41,-29.3
Mills,1277,431,1,2052,,,,,,,,,1/1/2015,56.82,0,0,0,0,56.8
Mills,638,574,1,1722,100000,98400,188.4,,,90400,90700,56.3,1/1/2016,60.45,1.32,188.75,-188.75,97.93,-29
Mills,0,718,0,1392,91500,91200,190.1,,,98400,99000,55.7,1/1/2017,61.49,0.73,192.15,-192.15,105.31,-24.6
Mills,-638,862,-1,1062,,,,,,,,,1/1/2018,55.48,0,0,0,0,55.5
Mills,-1277,1005,-1,732,84300,83300,202.9,,,,,,1/1/2019,56.14,0,0,0,0,56.1
Madison,15287,32364,10,13030,70400,69000,171.4,,,69600,71200,46.5,1/1/2014,90.76,28.23,163.7,-163.7,76.89,32.2
Madison,15444,31379,9,12959,70500,68100,169.6,,,71800,72200,53.9,1/1/2015,46.8,27.95,180.21,-180.21,97.61,-7.8
Madison,15601,30394,9,12888,75100,73800,185.5,,,71000,71200,57.1,1/1/2016,49.11,27.2,190.53,-190.53,102.31,-11.9
Madison,15758,29409,8,12817,67900,65500,173.1,,,74100,74600,52.5,1/1/2017,49.75,27.86,180.1,-180.1,97.03,-5.5
Madison,15915,28424,7,12746,70000,68500,167.8,,,67600,68700,50.9,1/1/2018,45.9,28.56,171.37,-171.37,87.52,-9.4
Madison,16072,27439,7,12675,67700,67000,175.7,,,67700,68500,52.3,1/1/2019,46.32,29.02,177.87,-177.87,92.68,-9.8
Warren,11873,6012,154,10156,69000,66700,169.9,,,66800,68100,46.6,1/1/2014,73.35,19.47,163.23,-163.23,76.22,5.8
Warren,11852,4008,129,9418,64500,63200,170.3,,,68500,69400,53.6,1/1/2015,42.08,19.03,180.52,-180.52,99.15,-20.3
Warren,11831,2004,105,8681,69400,66300,184.6,,,68200,68600,54.3,1/1/2016,43.97,17.59,185.9,-185.9,96.98,-27.4
Warren,11810,0,80,7944,60300,58300,183.2,,,68500,68800,49.9,1/1/2017,44.49,17.87,178.41,-178.41,91.29,-24.8
Warren,11789,-2004,55,7207,60700,59700,163.6,,,70600,71300,52,1/1/2018,41.32,16.57,176.78,-176.78,98.66,-20.2
Warren,11768,-4008,31,6470,,,,,,,,,1/1/2019,41.66,0,0,0,0,41.7
Wapello,0,36645,0,6830,60500,58500,195.2,,,52300,52700,48.7,1/1/2014,68.67,13.16,175.27,-175.27,76.72,-16.7
Wapello,0,36798,0,7185,57800,56200,159.3,,,51500,52000,48.5,1/1/2015,43.89,13.88,161.39,-161.39,77.54,-26.1
Wapello,0,36952,0,7541,61600,59900,196.9,,,50400,50600,58.1,1/1/2016,46.36,13.9,193.46,-193.46,97.24,-36
Wapello,0,37105,0,7896,55900,53300,153,,,54200,54900,45,1/1/2017,47.09,14.39,153.84,-153.84,71.75,-20.6
Wapello,0,37258,0,8251,,,,,,,,,1/1/2018,43.07,0,0,0,0,43.1
Wapello,0,37412,0,8607,57200,56700,176.5,,,48200,48700,55.5,1/1/2019,43.5,15.71,180.42,-180.42,92.7,-28.5
Winneshiek,14754,125196,15712,58251,166000,149800,174,15700,18.5,70600,70900,50.1,1/1/2014,70.56,55,156.67,-156.67,51.59,20.5
Winneshiek,14012,125289,16070,60371,169000,158300,185.6,,,67800,68000,55.6,1/1/2015,74.38,55.63,168.01,-168.01,57.99,20
