OBJECTID1,CountyName,StateAbbr,asd_code,asd_desc,county_code,BeefCows,Hogs,MilkCows,OtherCattle,CornAcresPlanted,CornGrainAcresHarvested,CornGrainYield_bupacre,CornSilageAcresHarvested,CornSilageYield_tonspacre,SoybeansAcresHarvested,SoybeansAcresPlanted,SoybeansYield_bupacre,Year,MEAN_Nrate_lbperac,CommercialN_kg_ha,ManureN_kg_ha,GrainN_kg_ha,FixatedN_kg_ha,NitrogenSurplus_kg_ha
1,Monroe,IA,80,SOUTH CENTRAL,135,17813,43956,660,0,29100,27700,127.2,1300,20.1,27800,28100,45,1/1/1997 0:00,30.53771167,34.23278,62.96826,144.0346,71.13426,24.3007
2,Monroe,IA,80,SOUTH CENTRAL,135,18100.4,46018.4,674.2,4117.2,28700,26200,111.9,2500,15.8,29000,29200,41.1,1/1/1998 0:00,30.47623202,34.16386,70.01024,132.2709,62.39117,34.29437
3,Monroe,IA,80,SOUTH CENTRAL,135,18387.8,48080.8,688.4,8234.4,25000,22900,110.8,2000,12.5,30100,31000,35.2,1/1/1999 0:00,33.39559116,37.43646,80.4536,121.4988,50.82598,47.21724
4,Monroe,IA,80,SOUTH CENTRAL,135,18675.2,50143.2,702.6,12351.6,27000,25000,135.8,1900,15.7,32400,32500,38.5,1/1/2000 0:00,29.95395918,33.57839,83.31445,137.3397,59.8965,39.44964
5,Monroe,IA,80,SOUTH CENTRAL,135,18962.6,52205.6,716.8,16468.8,15000,13300,115.9,1600,16.8,21500,22000,40,1/1/2001 0:00,31.66355665,35.49485,146.1897,139.1707,70.02342,112.5373
6,Monroe,IA,80,SOUTH CENTRAL,135,19250,54268,731,20586,27000,25000,158,1800,16.7,26900,27000,40.7,1/1/2002 0:00,25.85601618,28.98459,108.5338,147.1614,60.77567,51.13266
7,Monroe,IA,80,SOUTH CENTRAL,135,15400,46281,584.8,19335,29000,26000,129.6,2500,17.2,26800,27000,24,1/1/2003 0:00,26.88547463,30.13862,89.44905,99.6965,15.07179,34.96296
8,Monroe,IA,80,SOUTH CENTRAL,135,11550,38294,438.6,18084,29500,27500,171.3,1700,20.6,25900,26000,48.3,1/1/2004 0:00,32.72720226,36.68719,74.90931,166.1637,76.19265,21.62545
9,Monroe,IA,80,SOUTH CENTRAL,135,7700,30307,292.4,16833,29000,27000,154.3,1600,15.6,28300,28500,48.5,1/1/2005 0:00,32.05729528,35.93623,57.49194,162.6229,81.14983,11.9551
10,Monroe,IA,80,SOUTH CENTRAL,135,3850,22320,146.2,15582,27500,25900,137,900,12.9,27400,27500,40.6,1/1/2006 0:00,29.7056496,33.30003,44.62012,139.1362,60.50533,-0.71072
11,Monroe,IA,80,SOUTH CENTRAL,135,0,14333,0,14331,33000,31600,161.3,1200,18.5,23000,23100,49.3,1/1/2007 0:00,22.43089281,25.14503,28.56375,158.5236,69.19651,-35.61831
12,Monroe,IA,80,SOUTH CENTRAL,135,0,11466.4,0,14648.2,26500,25000,136,,,30900,31500,33.5,1/1/2008 0:00,30.30846104,33.97578,26.90277,124.7489,44.87302,-18.99733
13,Monroe,IA,80,SOUTH CENTRAL,135,0,8599.8,0,14965.4,29500,28600,156.3,600,13.5,30200,30500,47,1/1/2009 0:00,25.27256856,28.33055,25.30491,160.2024,79.10345,-27.46349
14,Monroe,IA,80,SOUTH CENTRAL,135,0,5733.2,0,15282.6,30000,26500,77.4,,,30900,31700,44.8,1/1/2010 0:00,18.05165858,20.23591,23.92592,130.2663,73.83925,-12.26522
15,Monroe,IA,80,SOUTH CENTRAL,135,0,2866.6,0,15599.8,34100,32000,112.5,450,13.5,33600,33800,42.4,1/1/2011 0:00,65.12994951,73.01067,21.1217,134.1155,65.0825,25.09937
16,Monroe,IA,80,SOUTH CENTRAL,135,0,0,0,15917,33500,29600,67.3,3600,13,35700,36000,32.9,1/1/2012 0:00,66.90675319,75.00247,20.03018,100.0096,41.11735,36.1404
17,Monroe,IA,80,SOUTH CENTRAL,135,0,5880.2,0,16133.2,30900,28600,115.3,500,14.5,32700,32900,29,1/1/2013 0:00,66.63756489,74.70071,24.36053,106.4242,30.06036,22.6974
18,Monroe,IA,80,SOUTH CENTRAL,135,0,11760.4,0,16349.4,32300,31200,175.7,750,16,33200,33600,48.9,1/1/2014 0:00,83.5130505,93.61813,26.04411,171.5455,84.57921,32.69595
19,Monroe,IA,80,SOUTH CENTRAL,135,0,17640.6,0,16565.6,,,,,,,,,1/1/2015 0:00,30.17109312,33.8218,,,,
20,Monroe,IA,80,SOUTH CENTRAL,135,0,23520.8,0,16781.8,30000,28100,180,1760,21.5,33100,33200,57.3,1/1/2016 0:00,31.06057721,34.81891,32.28665,194.5961,111.0004,-16.49014
21,Monroe,IA,80,SOUTH CENTRAL,135,0,29401,0,16998,30700,28400,169.9,2080,16,28900,29100,51,1/1/2017 0:00,31.30533921,35.09328,36.83313,173.0782,86.24889,-14.9029
22,Monroe,IA,80,SOUTH CENTRAL,135,0,35281.2,0,17214.2,28000,26000,167,1760,18.5,30500,30900,50.4,1/1/2018 0:00,29.83596818,33.44612,40.14814,174.0174,91.28143,-9.14171
23,Monroe,IA,80,SOUTH CENTRAL,135,0,41161.4,0,17430.4,26400,25400,162.3,,,25900,26200,56.1,1/1/2019 0:00,29.99583029,33.62532,48.0386,181.4213,102.0176,2.26022
24,Keokuk,IA,90,SOUTHEAST,107,13430,141111,203,0,102900,101500,143.4,1000,19,86200,87000,50.6,1/1/1997 0:00,54.42683691,61.01249,27.86025,157.4478,80.20921,11.63415
25,Keokuk,IA,90,SOUTHEAST,107,13390.2,144698.4,225.2,3263.6,98800,95300,120.6,3100,15.8,82100,83200,47.3,1/1/1998 0:00,54.35123514,60.92773,31.11075,142.1995,71.87901,21.71799
26,Keokuk,IA,90,SOUTHEAST,107,13350.4,148285.8,247.4,6527.2,101000,98400,123.5,2500,17.4,92600,93000,39.5,1/1/1999 0:00,54.9230648,61.56876,31.1013,129.5461,55.15923,18.28319
27,Keokuk,IA,90,SOUTHEAST,107,13310.6,151873.2,269.6,9790.8,101000,98700,147.6,2200,18.4,91800,92000,42.7,1/1/2000 0:00,53.73085082,60.23228,33.18729,145.201,63.09611,11.31468
28,Keokuk,IA,90,SOUTHEAST,107,13270.8,155460.6,291.8,13054.4,82000,79500,142.1,2000,21.9,88900,90000,42.6,1/1/2001 0:00,50.83492416,56.98595,39.39908,146.4778,68.97768,18.88491
29,Keokuk,IA,90,SOUTHEAST,107,13231,159048,314,16318,104000,102000,160.8,1700,20.9,88800,89000,44.5,1/1/2002 0:00,47.6019184,53.36175,37.03698,152.8057,65.52644,3.11947
30,Keokuk,IA,90,SOUTHEAST,107,10584.8,164774.8,251.2,15616,102000,100500,155.2,1400,22.1,91600,92000,31.5,1/1/2003 0:00,49.58998037,55.59037,35.34351,124.7833,34.05423,0.20481
31,Keokuk,IA,90,SOUTHEAST,107,7938.6,170501.6,188.4,14914,106000,104500,190.5,1200,20,89700,90000,53.2,1/1/2004 0:00,57.16903371,64.08649,33.49564,181.6834,86.84755,2.74628
32,Keokuk,IA,90,SOUTHEAST,107,5292.4,176228.4,125.6,14212,109000,107500,135,1200,16.7,88500,89000,49.8,1/1/2005 0:00,57.6010634,64.57079,31.6851,151.6203,76.75216,21.38775
33,Keokuk,IA,90,SOUTHEAST,107,2646.2,181955.2,62.8,13510,103500,102400,166.6,1000,19.5,91400,92000,45.9,1/1/2006 0:00,56.29409514,63.10568,30.59925,158.3672,70.43106,5.76879
34,Keokuk,IA,90,SOUTHEAST,107,0,187682,0,12808,125000,123400,174.5,1100,20.7,72800,73000,51.3,1/1/2007 0:00,56.69321431,63.55309,28.74069,163.2119,65.94407,-4.97405
35,Keokuk,IA,90,SOUTHEAST,107,2207.4,198348,96.6,13310.4,113500,111500,157,,,85700,86500,47,1/1/2008 0:00,64.06138864,71.81282,31.55375,153.6577,67.30276,17.01163
36,Keokuk,IA,90,SOUTHEAST,107,4414.8,209014,193.2,13812.8,119500,117600,167.7,,,88700,89500,54,1/1/2009 0:00,54.97560349,61.62765,33.16193,170.731,82.84531,6.90389
37,Keokuk,IA,90,SOUTHEAST,107,6622.2,219680,289.8,14315.2,121000,115500,111.2,,,92200,93000,45.4,1/1/2010 0:00,48.72759462,54.62363,35.28476,132.5399,63.86695,21.23544
38,Keokuk,IA,90,SOUTHEAST,107,8829.6,230346,386.4,14817.6,121000,117100,152.4,,,93900,94700,50.6,1/1/2011 0:00,58.74364343,65.85162,37.88147,159.5604,76.8652,21.03789
39,Keokuk,IA,90,SOUTHEAST,107,11037,241012,483,15320,123000,120200,113,,,93100,93400,49.1,1/1/2012 0:00,53.79209523,60.30094,40.62442,139.4015,72.06446,33.58832
40,Keokuk,IA,90,SOUTHEAST,107,11465.4,239140.4,402.8,15554.6,117000,111400,156.7,,,100500,101000,41.1,1/1/2013 0:00,51.05189416,57.22917,40.40948,144.9114,57.31704,10.04429
41,Keokuk,IA,90,SOUTHEAST,107,11893.8,237268.8,322.6,15789.2,118000,116400,193.2,,,101500,103000,52.6,1/1/2014 0:00,45.67014125,51.19623,39.94303,181.8928,86.63683,-4.11671
42,Keokuk,IA,90,SOUTHEAST,107,12322.2,235397.2,242.4,16023.8,119000,116100,181,,,103300,104000,53.4,1/1/2015 0:00,47.35974793,53.09028,39.66616,179.1507,88.7106,2.31634
43,Keokuk,IA,90,SOUTHEAST,107,12750.6,233525.6,162.2,16258.4,119000,116800,208.6,,,99100,99500,57.1,1/1/2016 0:00,50.34899047,56.44122,40.56611,196.3867,95.72977,-3.6496
44,Keokuk,IA,90,SOUTHEAST,107,13179,231654,82,16493,117500,114700,176.4,,,101600,102500,51.6,1/1/2017 0:00,51.22073358,57.41844,40.37199,173.5986,84.08913,8.28096
45,Keokuk,IA,90,SOUTHEAST,107,13607.4,229782.4,1.8,16727.6,119000,117100,203.7,,,102700,104500,57.7,1/1/2018 0:00,46.34433039,51.952,39.82094,196.4115,99.80786,-4.8307
46,Keokuk,IA,90,SOUTHEAST,107,14035.8,227910.8,-78.4,16962.2,123500,119800,175.5,,,95900,97000,55.8,1/1/2019 0:00,46.86900873,52.54016,40.445,178.9685,89.38605,3.40271
47,Cherokee,IA,10,NORTHWEST,35,11083,219006,813,0,138300,132900,139.6,4900,18.9,130000,131000,49.2,1/1/1997 0:00,66.2277332,74.24129,25.92755,156.9777,81.48365,24.67479
48,Cherokee,IA,10,NORTHWEST,35,11305.4,219816.6,780.2,9371.8,138400,135200,161.6,3200,14.8,131500,131800,51,1/1/1998 0:00,65.26450908,73.16151,29.03678,168.9034,86.45534,19.75023
49,Cherokee,IA,10,NORTHWEST,35,11527.8,220627.2,747.4,18743.6,143000,138300,170.7,4600,18.7,135900,136000,46.5,1/1/1999 0:00,65.45034877,73.36984,31.21572,162.959,74.53677,16.16333
50,Cherokee,IA,10,NORTHWEST,35,11750.2,221437.8,714.6,28115.4,144000,138000,119.9,4900,12.2,135800,136000,40.5,1/1/2000 0:00,67.10815965,75.22825,34.18798,131.214,58.514,36.71623
51,Cherokee,IA,10,NORTHWEST,35,11972.6,222248.4,681.8,37487.2,139000,133500,150,4500,18.7,140300,141000,47.9,1/1/2001 0:00,56.38850421,63.21151,37.27173,159.8095,80.81281,21.48655
52,Cherokee,IA,10,NORTHWEST,35,12195,223059,649,46859,140000,134000,161.9,5000,19,134600,135000,56.9,1/1/2002 0:00,58.08709356,65.11563,41.08921,182.5435,102.6684,26.32974
53,Cherokee,IA,10,NORTHWEST,35,12225.4,227681.2,754.8,50085,141000,135000,165.2,5000,19.2,136000,137000,40.1,1/1/2003 0:00,64.65100477,72.47378,42.15043,147.5646,58.30254,25.36215
54,Cherokee,IA,10,NORTHWEST,35,12255.8,232303.4,860.6,53311,147000,141000,187.1,4500,18.7,133000,133500,54.1,1/1/2004 0:00,67.229932,75.36475,43.26597,184.3338,92.33187,26.62879
55,Cherokee,IA,10,NORTHWEST,35,12286.2,236925.6,966.4,56537,148000,142000,185.5,4600,22.5,132400,133000,58.1,1/1/2005 0:00,69.87997155,78.33545,44.67754,191.7546,102.0585,33.31689
56,Cherokee,IA,10,NORTHWEST,35,12316.6,241547.8,1072.2,59763,146500,142700,144.4,3700,14,133000,133500,53.9,1/1/2006 0:00,70.26643571,78.76868,46.33098,167.2677,91.98119,49.81315
57,Cherokee,IA,10,NORTHWEST,35,12347,246170,1178,62989,154500,149000,166.5,5000,18.9,126400,126500,55,1/1/2007 0:00,86.13630691,96.5588,47.65467,175.3652,89.52538,58.37365
58,Cherokee,IA,10,NORTHWEST,35,12383,253439.2,1016.8,59040.4,146500,139000,196,,,135100,135500,55,1/1/2008 0:00,85.67760795,96.0446,46.80088,190.2913,95.55473,48.10891
59,Cherokee,IA,10,NORTHWEST,35,12419,260708.4,855.6,55091.8,153000,148500,201.9,,,135600,136000,55.5,1/1/2009 0:00,77.75921882,87.16808,44.99909,192.1752,94.85647,34.84844
60,Cherokee,IA,10,NORTHWEST,35,12455,267977.6,694.4,51143.2,150500,147500,186.9,,,142500,143500,55.7,1/1/2010 0:00,61.72290016,69.19137,43.57695,188.2059,98.91315,23.47557
61,Cherokee,IA,10,NORTHWEST,35,12491,275246.8,533.2,47194.6,157000,150800,176.7,,,132400,134000,52.8,1/1/2011 0:00,73.33511152,82.20866,43.36259,175.93,86.09707,35.73832
62,Cherokee,IA,10,NORTHWEST,35,12527,282516,372,43246,157500,153400,158.7,,,133600,134000,51.3,1/1/2012 0:00,74.8079482,83.85971,42.62573,165.6056,82.2213,43.10114
63,Cherokee,IA,10,NORTHWEST,35,10021.6,277819.8,297.6,44795.8,157000,144900,185.1,,,131400,132000,53.7,1/1/2013 0:00,65.62836213,73.5694,41.84754,181.8113,87.62151,21.22715
64,Cherokee,IA,10,NORTHWEST,35,7516.2,273123.6,223.2,46345.6,153500,150600,183.6,,,132600,135000,55.8,1/1/2014 0:00,60.90884959,68.27882,40.77114,184.7614,95.08118,19.36974
65,Cherokee,IA,10,NORTHWEST,35,5010.8,268427.4,148.8,47895.4,150500,147000,209.6,,,134700,135500,62.7,1/1/2015 0:00,60.49112867,67.81055,39.96857,210.047,113.9422,11.67432
66,Cherokee,IA,10,NORTHWEST,35,2505.4,263731.2,74.4,49445.2,152000,149400,219.7,,,130500,131000,69.6,1/1/2016 0:00,64.43705815,72.23394,39.22102,226.5185,128.5948,13.53126
67,Cherokee,IA,10,NORTHWEST,35,0,259035,0,50995,146500,139100,203.7,,,134700,135500,62.4,1/1/2017 0:00,65.57204561,73.50626,38.18471,208.7733,114.7791,17.69677
68,Cherokee,IA,10,NORTHWEST,35,-2505.4,254338.8,-74.4,52544.8,148000,142800,213.3,,,132900,134500,64.3,1/1/2018 0:00,59.08419766,66.23338,36.94381,215.2304,118.6212,6.56799
69,Cherokee,IA,10,NORTHWEST,35,-5010.8,249642.6,-148.8,54094.6,153000,150400,208.9,,,128100,129000,58.8,1/1/2019 0:00,59.78139772,67.01495,35.83391,199.9594,100.3693,3.25876
70,Shelby,IA,40,WEST CENTRAL,165,11270,118036,324,0,156700,155000,130.9,1200,19.3,129800,130800,47.8,1/1/1997 0:00,66.71725996,74.79005,15.50877,146.5279,72.76514,16.53606
71,Shelby,IA,40,WEST CENTRAL,165,11026.4,121702.4,280,4698.2,166000,150800,138.3,2100,12.9,138200,138600,46.9,1/1/1998 0:00,65.74611643,73.70139,16.14546,149.9767,70.56163,10.43178
