"source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV (%)"
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","BULLS","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL, FI","SLAUGHTERED","HEAD","CATTLE, BULLS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","2003","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","1,200",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","BULLS","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL, FI","SLAUGHTERED","HEAD","CATTLE, BULLS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","2002","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","1,900",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","BULLS","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL, FI","SLAUGHTERED","HEAD","CATTLE, BULLS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","2001","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","6,900",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","BULLS","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL, FI","SLAUGHTERED","HEAD","CATTLE, BULLS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","2000","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","3,300",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","BULLS","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL, FI","SLAUGHTERED","HEAD","CATTLE, BULLS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","1999","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","12,000",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","BULLS","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL, FI","SLAUGHTERED","HEAD","CATTLE, BULLS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","1998","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","15,500",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","BULLS","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL, FI","SLAUGHTERED","HEAD","CATTLE, BULLS, SLAUGHTER, COMMERCIAL, FI - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","1997","ANNUAL","00","00","YEAR","","2012-01-01 00:00:00.000","26,300",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","CALVES","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL","SLAUGHTERED","HEAD","CATTLE, CALVES, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","2022","ANNUAL","00","00","YEAR","","2023-04-19 15:00:00.000"," (D)",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","CALVES","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL","SLAUGHTERED","HEAD","CATTLE, CALVES, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","2021","ANNUAL","00","00","YEAR","","2023-04-19 15:00:00.000"," (D)",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","CALVES","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL","SLAUGHTERED","HEAD","CATTLE, CALVES, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","2020","ANNUAL","00","00","YEAR","","2022-04-20 16:05:09.000"," (D)",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","CALVES","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL","SLAUGHTERED","HEAD","CATTLE, CALVES, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","2019","ANNUAL","00","00","YEAR","","2021-04-21 15:20:54.000"," (D)",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","CALVES","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL","SLAUGHTERED","HEAD","CATTLE, CALVES, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","2018","ANNUAL","00","00","YEAR","","2020-04-22 15:10:58.000"," (D)",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","CALVES","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL","SLAUGHTERED","HEAD","CATTLE, CALVES, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","2017","ANNUAL","00","00","YEAR","","2019-04-24 15:09:22.000"," (D)",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","CALVES","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL","SLAUGHTERED","HEAD","CATTLE, CALVES, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","2016","ANNUAL","00","00","YEAR","","2018-04-18 15:04:27.000"," (D)",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","CALVES","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL","SLAUGHTERED","HEAD","CATTLE, CALVES, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","2015","ANNUAL","00","00","YEAR","","2017-04-19 15:11:08.000","(Y)",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","CALVES","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL","SLAUGHTERED","HEAD","CATTLE, CALVES, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","2014","ANNUAL","00","00","YEAR","","2016-04-20 15:48:37.000"," (D)",""
"SURVEY","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","CALVES","ALL PRODUCTION PRACTICES","SLAUGHTER, COMMERCIAL","SLAUGHTERED","HEAD","CATTLE, CALVES, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD","TOTAL","NOT SPECIFIED","STATE","19","19","IA","IOWA","","","","","","","","00000000","","","9000","UNITED STATES","IOWA","2013","ANNUAL","00","00","YEAR","","2015-04-27 15:00:41.000","(Y)",""
