"source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV (%)"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","HOGS","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2017","POINT IN TIME","12","12","END OF DEC","","2018-02-01 00:00:00.000","348,357","15.6"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","HOGS","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2012","POINT IN TIME","12","12","END OF DEC","","2012-12-31 00:00:00.000","438,072","12.6"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","HOGS","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2007","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","445,321",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","HOGS","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2002","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","314,097",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","HOGS","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","1997","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","296,162",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","HOGS","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","035","035","CHEROKEE","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, CHEROKEE","2017","POINT IN TIME","12","12","END OF DEC","","2018-02-01 00:00:00.000","259,035","15.6"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","HOGS","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","035","035","CHEROKEE","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, CHEROKEE","2012","POINT IN TIME","12","12","END OF DEC","","2012-12-31 00:00:00.000","282,516","12.6"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","HOGS","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","035","035","CHEROKEE","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, CHEROKEE","2007","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","246,170",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","HOGS","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","035","035","CHEROKEE","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, CHEROKEE","2002","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","223,059",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","HOGS","ALL CLASSES","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","HOGS - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","035","035","CHEROKEE","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, CHEROKEE","1997","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","219,006",""
