"source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV (%)"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2017","POINT IN TIME","12","12","END OF DEC","","2018-02-01 00:00:00.000","20,563","15.4"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2012","POINT IN TIME","12","12","END OF DEC","","2012-12-31 00:00:00.000","25,448","11.2"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2007","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","25,698",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","021","021","BUENA VISTA","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, BUENA VISTA","2002","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","16,872",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","035","035","CHEROKEE","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, CHEROKEE","2017","POINT IN TIME","12","12","END OF DEC","","2018-02-01 00:00:00.000","50,995","15.4"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","035","035","CHEROKEE","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, CHEROKEE","2012","POINT IN TIME","12","12","END OF DEC","","2012-12-31 00:00:00.000","43,246","11.2"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","035","035","CHEROKEE","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, CHEROKEE","2007","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","62,989",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","035","035","CHEROKEE","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, CHEROKEE","2002","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","46,859",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","041","041","CLAY","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, CLAY","2017","POINT IN TIME","12","12","END OF DEC","","2018-02-01 00:00:00.000","24,195","15.4"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","041","041","CLAY","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, CLAY","2012","POINT IN TIME","12","12","END OF DEC","","2012-12-31 00:00:00.000","25,326","11.2"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","041","041","CLAY","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, CLAY","2007","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","26,904",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","041","041","CLAY","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, CLAY","2002","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","13,402",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","059","059","DICKINSON","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, DICKINSON","2017","POINT IN TIME","12","12","END OF DEC","","2018-02-01 00:00:00.000","17,809","15.4"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","059","059","DICKINSON","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, DICKINSON","2012","POINT IN TIME","12","12","END OF DEC","","2012-12-31 00:00:00.000","18,712","11.2"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","059","059","DICKINSON","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, DICKINSON","2007","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","23,062",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","059","059","DICKINSON","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, DICKINSON","2002","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","21,311",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","063","063","EMMET","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, EMMET","2017","POINT IN TIME","12","12","END OF DEC","","2018-02-01 00:00:00.000","10,094","15.4"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","063","063","EMMET","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, EMMET","2012","POINT IN TIME","12","12","END OF DEC","","2012-12-31 00:00:00.000","16,885","11.2"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","063","063","EMMET","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, EMMET","2007","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","36,122",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","063","063","EMMET","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, EMMET","2002","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","16,752",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","119","119","LYON","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, LYON","2017","POINT IN TIME","12","12","END OF DEC","","2018-02-01 00:00:00.000","168,253","15.4"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","119","119","LYON","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, LYON","2012","POINT IN TIME","12","12","END OF DEC","","2012-12-31 00:00:00.000","148,251","11.2"
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","119","119","LYON","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, LYON","2007","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","120,043",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","119","119","LYON","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, LYON","2002","POINT IN TIME","12","12","END OF DEC","","2012-01-01 00:00:00.000","73,177",""
"CENSUS","ANIMALS & PRODUCTS","LIVESTOCK","CATTLE","(EXCL COWS)","ALL PRODUCTION PRACTICES","ALL UTILIZATION PRACTICES","INVENTORY","HEAD","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","COUNTY","19","19","IA","IOWA","10","NORTHWEST","141","141","O BRIEN","","","00000000","","","9000","UNITED STATES","IOWA, NORTHWEST, O BRIEN","2017","POINT IN TIME","12","12","END OF DEC","","2018-02-01 00:00:00.000","51,493","15.4"
