Year,County,Beef Cattle,Hogs,Milk Cattle,Other Cattle,CAP,CGH,CGY,SH,SAP,SY
1997,Buena Vista,4472.0,296162.0,321.0,0.0,166100.0,162500.0,146.4,154700.0,155900.0,48.4
1998,Buena Vista,4438.5,287105.128,257.5,2743.5600000000086,168300.0,166000.0,154.6,150100.0,150600.0,48.8
1999,Buena Vista,4438.5,284370.192,257.5,6864.639999999999,160000.0,157500.0,165.1,156800.0,157000.0,46.0
2000,Buena Vista,4438.5,287957.19200000004,257.5,10593.073333333337,164000.0,160400.0,135.7,152700.0,153000.0,38.4
2001,Buena Vista,4438.5,297866.128,257.5,13928.860000000002,159000.0,155800.0,144.4,157200.0,158000.0,46.5
2002,Buena Vista,4405.0,314097.0,194.0,16872.0,160000.0,157000.0,159.2,148100.0,149000.0,51.5
2003,Buena Vista,4438.5,336649.8080000001,257.5,19422.493333333332,163000.0,160000.0,160.0,151400.0,153000.0,31.7
2004,Buena Vista,4438.5,365524.552,257.5,21580.339999999997,169000.0,166000.0,192.5,143300.0,144000.0,49.4
2005,Buena Vista,4438.5,398930.856,257.5,23345.54,174000.0,171000.0,185.3,141900.0,142500.0,51.7
2006,Buena Vista,4438.5,426126.4640000001,257.5,24718.093333333334,171000.0,168500.0,143.3,142500.0,143000.0,47.8
2007,Buena Vista,4438.5,445321.0,257.5,25698.0,186000.0,183500.0,163.0,127800.0,128000.0,52.6
2008,Buena Vista,4438.5,456514.4640000001,257.5,26285.260000000002,169000.0,165000.0,179.0,142600.0,143000.0,50.5
2009,Buena Vista,4438.5,459706.856,257.5,26479.87333333333,173000.0,171500.0,190.7,139600.0,140000.0,53.5
2010,Buena Vista,4438.5,455569.9520000001,257.5,26311.446666666667,165000.0,163500.0,178.3,145000.0,145500.0,50.4
2011,Buena Vista,4438.5,448134.40800000005,257.5,25957.62,174000.0,171900.0,180.2,134000.0,135000.0,49.3
2012,Buena Vista,4438.5,438072.0,257.5,25448.0,176000.0,172500.0,148.2,132600.0,133000.0,42.8
2013,Buena Vista,4438.5,425382.728,257.5,24782.58666666667,177000.0,172200.0,160.5,131500.0,132000.0,44.9
2014,Buena Vista,4438.5,410066.59200000006,257.5,23961.380000000005,172500.0,170300.0,172.1,137800.0,139000.0,49.1
2015,Buena Vista,4438.5,392123.59199999995,257.5,22984.379999999997,166000.0,159800.0,202.7,146400.0,147000.0,59.6
2016,Buena Vista,4438.5,371553.728,257.5,21851.58666666667,170000.0,167600.0,201.1,138400.0,139000.0,60.2
2017,Buena Vista,4438.5,348357.0,257.5,20563.0,166500.0,163600.0,187.9,142700.0,143500.0,56.5
2018,Buena Vista,4438.5,322533.40800000005,257.5,19118.62,164000.0,161400.0,193.1,142300.0,144000.0,55.5
2019,Buena Vista,4438.5,294082.952,257.5,17518.446666666663,170500.0,167900.0,190.8,135800.0,137000.0,53.5
1997,Cherokee,11083.0,219006.0,813.0,0.0,138300.0,132900.0,139.6,130000.0,131000.0,49.2
1998,Cherokee,11395.373333333333,218379.1005714286,697.72,522.6400000000085,138400.0,135200.0,161.6,131500.0,131800.0,51.0
1999,Cherokee,11662.759999999998,218470.95085714283,623.6799999999998,14892.759999999984,143000.0,138300.0,170.7,135900.0,136000.0,46.5
2000,Cherokee,11885.16,219281.55085714287,590.8800000000001,27405.52666666667,144000.0,138000.0,119.9,135800.0,136000.0,40.5
2001,Cherokee,12062.573333333332,220810.90057142853,599.3199999999999,38060.94,139000.0,133500.0,150.0,140300.0,141000.0,47.9
2002,Cherokee,12195.0,223059.0,649.0,46859.0,140000.0,134000.0,161.9,134600.0,135000.0,56.9
2003,Cherokee,12282.439999999999,226025.84914285716,739.9200000000001,53799.706666666665,141000.0,135000.0,165.2,136000.0,137000.0,40.1
2004,Cherokee,12324.893333333332,229711.44800000003,872.0799999999999,58883.05999999999,147000.0,141000.0,187.1,133000.0,133500.0,54.1
2005,Cherokee,12328.946666666665,234159.3668571429,1031.96,62109.06,148000.0,142000.0,185.5,132400.0,133000.0,58.1
2006,Cherokee,12334.12,239631.0274285715,1138.44,63477.706666666665,146500.0,142700.0,144.4,133000.0,133500.0,53.9
2007,Cherokee,12347.0,246170.0,1178.0,62989.0,154500.0,149000.0,166.5,126400.0,126500.0,55.0
2008,Cherokee,12367.586666666668,253776.28457142867,1150.64,60642.94,146500.0,139000.0,196.0,135100.0,135500.0,55.0
2009,Cherokee,12395.880000000001,262449.88114285714,1056.3600000000001,56439.52666666666,153000.0,148500.0,201.9,135600.0,136000.0,55.5
2010,Cherokee,12431.88,271696.44800000003,895.1599999999999,50801.19333333333,150500.0,147500.0,186.9,142500.0,143500.0,55.7
2011,Cherokee,12475.586666666668,278549.93485714286,667.04,46262.54000000001,157000.0,150800.0,176.7,132400.0,134000.0,52.8
2012,Cherokee,12527.0,282516.0,372.0,43246.0,157500.0,153400.0,158.7,133600.0,134000.0,51.3
2013,Cherokee,12586.12,283594.6434285714,10.039999999999964,41751.573333333334,157000.0,144900.0,185.1,131400.0,132000.0,53.7
2014,Cherokee,12652.946666666667,281785.86514285713,0.0,41779.26000000001,153500.0,150600.0,183.6,132600.0,135000.0,55.8
2015,Cherokee,12727.479999999996,277089.6651428571,0.0,43329.06,150500.0,147000.0,209.6,134700.0,135500.0,62.7
